name,brand,description,color,size,price,curateditem_url
"Dunes Wind-Resistant Jacket","peter millar","The Peter Millar ""Dunes"" jacket is crafted from doubleweave performance fabric, providing four-way stretch. This windbreaker features superior wind and water resistance, elasticized grip strap cuffs, a stand collar, a two-way zip closure, side slip pockets, and long sleeves. It is made of polyester and spandex, and it is unlined. This is a windbreaker.","sport navy",Small,112,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500314701829715741229567&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fpeter-millar-mens-dunes-wind-resistant-jacket-prod279820462"
"Dolce & Gabbana Gabardine Visor","Dolce & Gabbana","This Dolce & Gabbana visor is crafted in Italy from cotton gabardine. The curved brim visor features leather trim, an adjustable back strap, and a logo plaque on the front. To maintain the quality of this item, hand wash or dry clean.",charcoal,"57cm (7 1/8 US)",210,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500318382604082216391567&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fdolce-gabbana-mens-gabardine-logo-visor-prod275550228"
"White Embroidered Rosie Tank Top","Rag & Bone",,white,XS,198,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https://www.neimanmarcus.com/p/prod282190396"
"albert crown lite cotton-stretch sport shirt","peter millar","Peter Millar ""Albert Crown Lite"" sport shirt in cottonstretch fabric with a multicheck print Buttondown collar Button placket Chest patch pocket Long sleeves Round barrel cuffs Pleated back yoke Curved hem Classic fit Cotton/nylon/polyamide/lyocell Dry clean, machine wash cold Imported","blue freesia",Large,80,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250038361247472408687000&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fpeter-millar-mens-albert-crown-lite-cotton-stretch-sport-shirt-prod277780240"
"White Embellished Stretch Jersey Shorts",valentino,,white,"IT 36",1500,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/valentino-garavani/clothing/short-and-mini/embellished-stretch-jersey-shorts/46376663162855370"
"Paula's Ibiza Anagram Beaded Raffia Bucket Bag",Loewe,"This bucket bag is part of Loewe's collaboration with Paula's Ibiza. The raffia bag is decorated with beaded flowers and features a leather 'Anagram' to match the adjustable shoulder strap. It also has a drawstring.",neutrals,"One size",790,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244497316082591840938475&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Floewe%2Fbags%2Fbucket-bags%2Fplus-paula-s-ibiza-anagram-beaded-leather-trimmed-raffia-shoulder-bag%2F46376663162835514"
"Blue Mini Dress",Alemais,,blue,"US 0",590,"https://www.dpbolvw.net/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Falemais-oceane-linen-minidress-blue-p01033833%3Ffeed_num%3DP01033833%26feed_des%3DAl%C3%83%C2%A9mais%26feed_mwg%3Dclothing"
"White Knit Sleeveless Top",alaïa,,"blanc naturel","US 4",1300,"https://www.jdoqocy.com/click-8455109-15513564?url=https://www.mytheresa.com/us/en/women/alaia-open-knit-cotton-blend-top-beige-p01047434?dplink=true&utm_source=sea_pla&utm_medium=google&utm_campaign=google_sea&chn=sea_shopping&src=google&cmp=17381422691&tarea=row&tar=&ag=&ptyp=&feed_num=P01047434-2&gclid=CjwKCAjwwNbEBhBpEiwAFYLtGGSiH0xKFZpDr0Zg9nII2FszDk0t0urcbqa0AeLDO9wj9-OB1FKMGBoC2GIQAvD_BwE&gbraid=0AAAAAD3Pw-nSaFrA6QgnJgBZ0amg6IbUA&gad_source=1&gad_campaignid=17372497840&gbraid=0AAAAAD3Pw-nSaFrA6QgnJgBZ0amg6IbUA&slink_id=984d1813-9760-4c21-b7d5-5a98fd0492ac&slink=1"
"Earth Narrow Embellished Leather Belt","SONIA PETROFF","This Sonia Petroff 'Earth Narrow' belt is crafted from leather and features gold-plated hardware. It is embellished with simulated cabochons.",black,S,540,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444910248398537465704987&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fsonia-petroff%2Faccessories%2Fskinny%2Fearth-narrow-embellished-leather-belt%2F1647597348857677"
"Ivory Carlyne Denim Midi Skirt","Maison Mayle","The MAISON MAYLE 'Carlyne' midi skirt is made from panels of denim arranged in an A-line shape. It features button detailed and topstitched. It is a midi length skirt.",ivory,"US 10",615,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fmaison-mayle%2Fclothing%2Fmidi%2Fcarlyne-paneled-denim-midi-skirt%2F46376663162938037"
"Suede Ankle Boots with Buckle","TOM FORD","These TOM FORD ankle boots are crafted from supple suede and feature a wraparound ankle strap. They have a stacked heel, round toe, gold-tone logo-engraved buckle, cotton lining, backstay pull tab, and leather outsole. These ankle boots are made in Italy.",mdbrwn,"44 EU (11D US)",2190,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250035366260608499325503&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Ftom-ford-mens-suede-buckle-ankle-boots-prod282280165"
"Diaz Denim Skort","Veronica Beard","The Veronica Beard Diaz skort features a high rise, an adjustable side buckle and a wrap silhouette. It has side seam pockets and back welt pockets. The hem falls above the knee and it is crafted from cotton with a light wash. This is a denim skort.","silverwood blue",8,268,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500310541536321452537666&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fveronica-beard-diaz-denim-skort-prod280780183"
"neck roll insert","HAREMLIQUE ISTANBUL","Crafted of combed cotton and filled with goose feather/down, this light and soft neck roll pillow has a perfect fluffiness and easily springs back into shape. Approx. 6""Dia. x 14""L Dry clean Imported",white,one-size,38,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250031324093344289812255&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fharemlique-istanbul-neck-roll-insert-prod280570016%3FfocusProductId%3Dprod280440114"
"Aidan Mattox Embroidered Floral Applique Gown","Aidan Mattox","This Aidan Mattox gown features a pleated bodice, tonal embroidery, and 3D floral appliqué. It has a V neckline, is sleeveless, and has a thigh-high side slit. This full-length gown has an A-line silhouette and an invisible back zipper. It is approximately 61""L from shoulders to hem.","twilight blue",2,440,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500315904291239659354612&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Faidan-mattox-embroidered-floral-applique-gown-prod276540372"
"Juniper Strapless Faux Pearl-Embellished Tulle Gown",aje,"This AJE. gown features gathered detailing, faux pearl embellishments, and a strapless design. It is crafted from 100% nylon with 100% polyester trim and a 100% cotton lining. It has a concealed button and zip fastening at the back.",black,"UK 14",641,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244497264943718119362424&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Faje%2Fclothing%2Fgowns%2Fjuniper-strapless-faux-pearl-embellished-gathered-tulle-gown%2F46376663162863328"
"Ralph Lauren Purple Label Connel Suede Slippers","Ralph Lauren","The Ralph Lauren Purple Label ""Connel"" slippers are crafted in Spain from supple suede with tonal leather trim. These slip-on style slippers feature a flat heel, round toe, notched vamp, and a backstay with a leather logo tab. Rustic handstitching embellishes the midsole. The slippers are unlined for a soft and flexible feel.","light tan",10D,297,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500316701265201649359195&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fralph-lauren-purple-label-mens-connel-suede-slippers-prod280010008"
"Wool-blend tweed mini dress",Gucci,,cream,"US 0",3300,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/gucci/clothing/mini-dresses/wool-blend-tweed-mini-dress/46376663162893840"
"Olivine Twist Column Dress",Retrofete,"This Retrofete 'Olivine' satin dress features a twist front, sweetheart neckline and removable spaghetti straps. The silhouette is a column and the length is full. It has an invisible back zip.",port,X-Small,598,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250036814004303813627344&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fretrofete-olivine-twist-column-dress-prod275260054"
"White Embellished Jersey Tank Top","Christopher Esber",,white,"US 2-4",425,"https://www.jdoqocy.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fchristopher-esber-crystal-pin-embellished-jersey-tank-top-white-p01048186%3Ffeed_num%3DP01048186%26feed_des%3DChristopherEsber%26feed_mwg%3Dclothing"
"White Lace Trimmed Cropped T-Shirt","Miu Miu",,white,"US 4",1150,"https://www.jdoqocy.com/click-100010600-13462687?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Fmiu-miu-cropped-cotton-t-shirt-white-p01069682%3Ffeed_num%3DP01069682%26feed_des%3DMiuMiu%26feed_mwg%3Dclothing"
"Dries Van Noten Leather-Trimmed Printed Twill Tote","Dries Van Noten","This tote bag from Dries Van Noten has a colorful geometric printed pattern. It's crafted from twill and features a buckled leather strap that can be adjusted. It can be styled as a shoulder bag.",multi,one-size,950,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444914756995841904000646&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fdries-van-noten%2Fbags%2Fshoulder-bags%2Fleather-trimmed-printed-twill-tote%2F46376663162872438"
"Gray Cashmere March Cardigan","NILI LOTAN","This lightweight 'March' cardigan from Nili Lotan is crafted from cashmere. It features long sleeves, a round neck, fitted ribbed trims, and black button detailed closures.",gray,small,670,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fnili-lotan%2Fclothing%2Fcardigans%2Fmarch-cashmere-cardigan%2F46376663162867361"
"santa in sleigh over buildings beaded pillow, 9"" x 11""","SUDHA PENNATHUR","Sudha's beautifully designed pillows exclusively feature style and quality workmanship, brought to life by master craftsmen using handbeadwork. Each creation is a timeless work of art, where form and function are woven together into a masterpiece of sophisticated and enduring value Features ""Santa in Sleigh Over Buildings"" graphic in a colorful beaded design Approx. 9"" x 11"" Handcrafted of rayon velvet and glass beads Polyester fiberfill Spot clean Imported",one-color,one-size,99,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500313064553365186388173&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fsudha-pennathur-santa-in-sleigh-over-buildings-beaded-pillow-9-x-11-prod279770111"
"White Cashmere And Silk Top",GUCCI,,white,S,1500,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/gucci/clothing/round-neck/striped-cashmere-and-silk-blend-top/46376663162893804"
"Agofran Fringed Velvet Loafers","manolo blahnik","These Manolo Blahnik loafers feature a low heel that measures approximately 10mm/0.5 inches. They are crafted from velvet with fringe detailing and have a slip-on style.",green,IT36.5,935,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/manolo-blahnik/shoes/loafers/agofran-fringed-velvet-loafers/46376663162877716"
"Jovani Strapless Trumpet Gown",Jovani,"This Jovani gown features an asymmetric silhouette with a pleated front sash, a strapless neckline, and a full-length trumpet skirt. The dress is 65""L from shoulders to hem and has an invisible back zipper. It is made of polyester and should be dry cleaned.",blush,0,530,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250034854064380067566319&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fjovani-strapless-asymmetric-trumpet-gown-prod279650141"
"Off-white Embroidered Midi Skirt","Ulla Johnson",,off-white,6,790,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/ulla-johnson/clothing/midi/caro-embroidered-cotton-voile-midi-skirt/46376663162870591"
"Black Leather High-Rise Pants",Frame,"FRAME pants crafted from paneled leather with a crinkled finish. These pants feature a high-rise, darted waist and cropped, wide legs.",Black,small,600,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fframe%2Fclothing%2Fwide-leg%2Fcrinkled-cropped-high-rise-wide-leg-leather-pants%2F1647597346187696"
"Alice + Olivia On The Road Willa Placket Top","Alice + Olivia","This Alice + Olivia Willa top features an On The Road multipattern print. This hip-length shirt has a spread collar, button front, long sleeves with button cuffs, and a yoked back. The relaxed fit blouse is made of silk and measures approximately 24""L from shoulder to hem and 31.3""L in sleeve length.","on the road",Small,140,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.2500310765367729309714756&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Falice-olivia-on-the-road-willa-placket-top-prod279640138"
"Christian Louboutin Loubigirl 85 Satin Sandals","CHRISTIAN LOUBOUTIN","The Christian Louboutin 'Loubigirl' sandals are crafted from smooth satin and rest on 85mm stiletto heels. These strappy sandals feature the brand's signature red splashed on the soles.",off-white,"IT 40",895,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244499992278499436095209&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fchristian-louboutin%2Fshoes%2Fmid-heel%2Floubigirl-85-satin-sandals%2F1647597327075979"
"Chiara Boni La Petite Robe Italica Embroidered Midi Dress","Chiara Boni La Petite Robe","The Chiara Boni La Petite Robe Italica midi dress features sequined floral embroidery, a v neckline, and a sleeveless design. The hem falls below the knee. This sheath silhouette measures approximately 45""L from shoulder to hem and is crafted in Italy with nylon, polyamide, and elastane.","blu notte",6,357,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250032736661709920485517&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fchiara-boni-la-petite-robe-italica-floral-embroidered-midi-sheath-dress-prod277730265"
"Veda Fringed Midi Skirt","Proenza Schouler","This midi skirt from PROENZA SCHOULER features a fringe detail. It is crafted from 60% polyurethane and 40% polyester synthetic fabric. Dry clean.",black,US4,2690,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/proenza-schouler/clothing/midi/veda-fringed-midi-skirt/46376663162891514"
"Sachin & Babi Shay Floral-Print Midi Dress","Sachin & Babi","The Sachin & Babi ""Shay"" pleated midi dress features a placed floral print. It has a strapless neckline, is sleeveless, and has onseam pockets. The hem falls below the knee. It has an A-line silhouette and an invisible back zipper. It is approximately 50""L from shoulders to hem.","blooming rose",8,650,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250033145379050268279257&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fsachin-babi-shay-strapless-pleated-floral-print-midi-dress-prod275560039"
"Manolo Blahnik Sareta Metallic Leather Sandals","manolo blahnik","The Manolo Blahnik Sareta sandals are crafted of metallic leather in Italy. These strappy sandals feature a stiletto heel measuring 3.50 in / 90 mm, an open toe, a criss-cross and knotted vamp, and a halter slingback strap. The lining is goat leather, and the outsole is leather.",gold,"6B / 36EU",350,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250031880526326128690342&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fmanolo-blahnik-sareta-metallic-crisscross-halter-sandals-prod276770478"
"Marisol Pleated A-Line Halter Gown",Halston,"The Halston Marisol gown is crafted in pleated Lurex. It features a halter neckline with a self-tie closure behind the neck, and a sleeveless design. This full-length gown has an A-line silhouette and an invisible back zipper. The length is approximately 62"" from shoulder to hem. Professional cleaning recommended.","dark olive",6,645,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1852500.250035753447072408250975&type=15&murl=https%3A%2F%2Fwww.neimanmarcus.com%2Fp%2Fhalston-marisol-pleated-a-line-halter-gown-prod278350070"
"Printed Bikini Top","Emilio Pucci","This PUCCI bikini top is stitched to create a 'push-up' effect. It is made from stretch fabric and printed with the label's signature 'Iride' motif. The top is a bikini top with adjustable straps.",blue,medium,340,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244496421272134081729197&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fpucci%2Fclothing%2Fbikini-tops%2Fprinted-bikini-top%2F46376663162862199"
"Sacha Velvet Flip Flops","THE ROW","These Sacha flip flops from The Row are crafted in Italy from velvet and feature slight heels and pointed toes.",black,IT38.5,910,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444914252363327147869264&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fthe-row%2Fshoes%2Fflat%2Fsacha-velvet-flip-flops%2F46376663162895525"
"Navy Gathered Shirred Striped Midi Dress","Tory Burch","This TORY BURCH dress is crafted from 100% cotton and features a full lining. ",navy,US4,800,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/tory-burch/clothing/maxi-dresses/gathered-shirred-pleated-striped-cotton-midi-dress/46376663162900618"
"Leather-Trimmed Suede Loafers","GIANVITO ROSSI","Gianvito Rossi loafers feature a minimalist design. Made from suede, they're trimmed with leather along the notched vamps and rest on slight heels. They are a slip on style and have a flat heel.",emerald,IT38.5,895,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/gianvito-rossi/shoes/loafers/leather-trimmed-suede-loafers/46376663162901470"
"Mateo 14-karat Gold, Pearl and Rose Quartz Earrings",Mateo,"These Mateo earrings are crafted from 14-karat gold and feature stud detailing with rose quartz that highlight the natural luster of the organically shaped freshwater pearls. These are earrings are stud earrings.",gold,"One size",900,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244494085029039697875317&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fmateo%2Fjewelry-and-watches%2Fstatement-earrings%2F14-karat-gold-pearl-and-rose-quartz-earrings%2F1647597283747065"
"Black Anabel Cady Blazer","NILI LOTAN","This blazer from NILI LOTAN is crafted from 69% triacetate and 31% polyester. The design features button fastenings through the front and notched lapel.",black,US6,1650,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fnili-lotan%2Fclothing%2Fblazers%2Fanabel-cady-blazer%2F46376663162867353"
"Black Wool Sleeveless Tweed Mini Day Suit Dress","Oscar de la Renta",,black,"US 2",3490,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=25003&murl=https://www.neimanmarcus.com/p/oscar-de-la-renta-cotton-wool-tweed-day-suit-prod282890037?childItemId=NMBA8NZ_&msid=5043805&navpath=cat000000_cat84680805_cat86700733&page=5&position=27"
"Striped Cotton-blend Jersey Polo Shirt","POLO RALPH LAUREN","Polo Ralph Lauren's polo is based on traditional athletic styles. It's made from soft cotton-blend jersey for a slightly loose fit and has color-block stripes reminiscent of rugby shirts. Team yours with shorts or track pants.",navy,"x large",215,"https://click.linksynergy.com/deeplink?id=iCi9myjOyis&mid=24449&murl=https://www.net-a-porter.com/en-us/shop/product/polo-ralph-lauren/clothing/sweatshirts/striped-cotton-blend-jersey-polo-shirt/46376663162901418"
"ON Cloudsurfer 2 Mesh Sneakers",on,"The ON Cloudsurfer 2 sneakers are re-engineered for improved performance and durability. Made from mesh, they have perforations for enhanced breathability, springy CloudTec Phase® midsoles and Helion™ superfoam for comfort. The thick, padded rubber outsole is designed with smaller cavities for a smoother run. The sneakers are athletic and trimmed.",gray,US8,96,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444911537849372135767746&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fon%2Fshoes%2Fperformance%2Fcloudsurfer-2-rubber-trimmed-mesh-sneakers%2F1647597355691932"
"Black Floral Gathered Midi Dress",Erdem,,black,"US 4",2695,"https://www.jdoqocy.com/click-8455109-15513564?url=https%3A%2F%2Fwww.mytheresa.com%2Fus%2Fen%2Fwomen%2Ferdem-floral-gathered-midi-dress-black-p01058104%3Ffeed_num%3DP01058104%26feed_des%3DErdem%26feed_mwg%3Dclothing"
"Vita Kin Cairo Bead-Embellished Embroidered Linen Maxi Dress","Vita Kin","The Vita Kin Cairo maxi dress is inspired by traditional Ukrainian costumes. Cut from linen, this maxi dress features intricate embroidery, glistening beads along the neckline, godet pleats and tasseled detailing. This dress has flowy movement through the skirt.",red,medium,1782,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.2444915538485581853483564&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Fvita-kin%2Fclothing%2Fmaxi-dresses%2Fcairo-tasseled-bead-embellished-embroidered-linen-maxi-dress%2F1647597331596734"
"White Avalina Vest","Veronica beard","The Veronica Beard Avalina vest is tailored from honeycomb-textured Lyocell-blend. It features a split hem, crest-engraved buttons, and darts to highlight the figure.",Ecru,"US 14",475,"https://www.jdoqocy.com/click-8455109-15513564?url=https://www.mytheresa.com/us/en/women/veronica-beard-avalina-vest-white-p01097269"
"Linen and Silk-Blend Wide-Leg Pants",Alaïa,"Alaïa's wide-leg pants are knitted from a blend of linen and silk and feature an elasticated waist. The straight pants have a touch of sheerness and a flowy drape.",black,"FR 34",2600,"https://click.linksynergy.com/link?id=iCi9myjOyis&offerid=1705115.244497585277695208933683&type=15&murl=https%3A%2F%2Fwww.net-a-porter.com%2Fen-us%2Fshop%2Fproduct%2Falaia%2Fclothing%2Fwide-leg%2Flinen-and-silk-blend-wide-leg-pants%2F46376663162843127"
